category,skill,level
Programming,Python,Intermediate-Advanced
AI/ML,Machine Learning,Intermediate
AI/ML,Generative AI,Advanced
Framework,LangChain,Advanced
Backend,FastAPI,Beginner
Frontend,Streamlit,Intermediate
